type	latitude	longitude	altitude (m)	name	desc
T	20.743819057	79.524318522	252.5		
T	20.785535840	79.682088720	237.2		
T	20.795956465	79.738421747	236.0		
T	20.806360697	79.772321065	235.1		
T	20.848057412	79.964608955	270.8		
T	20.879280606	80.089440105	272.7		
T	20.879235845	80.145894572	287.0		
T	20.879178427	80.236380511	255.3		
T	20.868668093	80.304019280	279.4		
T	20.806013786	80.324937301	323.7		
T	20.785146466	80.324363968	366.0		
T	20.722589210	80.322708551	334.8		
T	20.680991318	80.299088960	269.5		
T	20.649893962	80.241870476	250.4		
T	20.629201743	80.184957815	241.2		
T	20.618914128	80.128353357	250.3		
T	20.608561150	80.105591366	250.7		
T	20.577537110	80.014864293	223.8		
T	20.567237334	79.947166371	218.3		
T	20.567290117	79.890962886	217.8		
T	20.567356392	79.789906457	237.9		
T	20.557104159	79.666560249	290.7		
T	20.536390773	79.543154646	282.0		
T	20.536368995	79.353449259	247.1		
T	20.536344565	79.286614907	259.2		
T	20.525958448	79.253046252	272.2		
T	20.505189154	79.197082145	262.3		
T	20.494731815	79.119063740	239.6		
T	20.484345731	79.074504766	234.4		
T	20.473969267	79.030001744	226.5		
T	20.463561612	78.963349890	223.4		
T	20.453117069	78.885661431	213.5		
T	20.453099906	78.874584247	216.9		
T	20.432327628	78.818985758	211.6		
T	20.421807046	78.730337971	232.5		
T	20.400845968	78.608535080	236.8		
T	20.390488265	78.597397607	233.4		
T	20.379941517	78.520012641	250.1		
T	20.379905537	78.508970849	253.5		
T	20.358680554	78.321415185	372.1		
T	20.358647452	78.310406833	386.6		
T	20.347977355	78.200319000	413.5		
T	20.347635253	78.112328935	424.1		
T	20.337248467	78.090310652	442.8		
T	20.316298562	78.002371140	352.8		
T	20.305772570	77.947456662	314.1		
T	20.274572296	77.870622210	306.0		
T	20.264135427	77.837715098	307.7		
T	20.253540355	77.771935475	333.3		
T	20.242924179	77.706183214	355.4		
T	20.221965150	77.629531908	349.0		
T	20.201217308	77.596708589	362.4		
T	20.190693828	77.552944077	382.4		
T	20.169799624	77.498261401	474.2		
T	20.148753891	77.421734546	495.1		
T	20.138112258	77.367090369	477.6		
T	20.127553530	77.323412874	545.6		
T	20.127099278	77.246961805	519.9		
T	20.095481147	77.126997785	539.4		
T	20.136447937	77.104955115	557.5		
T	20.136222592	77.072204130	551.7		
T	20.115105038	76.995908148	516.4		
T	20.104663875	76.974146179	516.2		
T	20.073192510	76.887073550	506.7		
T	20.062751652	76.865333931	501.7		
T	20.031159385	76.767430905	519.6		
T	20.010273011	76.723999489	530.6		
T	19.999638431	76.680492120	530.2		
T	19.978734227	76.637090023	546.0		
T	19.947509778	76.582911048	531.0		
T	19.926622685	76.539544179	533.9		
T	19.905528642	76.474411765	526.9		
T	19.894971159	76.441851634	529.9		
T	19.873943936	76.387634781	540.1		
T	19.842318963	76.300898060	554.1		
T	19.831741832	76.268363103	563.7		
T	19.800215785	76.192547681	495.4		
T	19.768541341	76.105878471	457.0		
T	19.768067885	76.062344285	480.9		
T	19.757330749	76.018953095	466.5		
T	19.746194746	75.942925269	486.0		
T	19.735690840	75.921308821	473.9		
T	19.714290763	75.845428265	472.6		
T	19.692309839	75.726028516	510.4		
T	19.692032600	75.704260047	513.9		
T	19.681078538	75.650004936	564.7		
T	19.659583957	75.574139022	533.1		
T	19.648783325	75.530720444	529.1		
T	19.648502343	75.508922720	536.0		
T	19.626999094	75.432980142	509.6		
T	19.616158974	75.389558322	488.6		
T	19.615557675	75.345948065	486.8		
T	19.604689868	75.302529793	475.3		
T	19.593316069	75.226430868	463.4		
T	19.582744490	75.204814000	460.0		
T	19.571521613	75.139554924	473.7		
T	19.560440204	75.085202226	483.7		
T	19.538910110	75.020149823	497.3		
T	19.527433245	74.943968137	488.2		
T	19.506380465	74.911671939	484.0		
T	19.495761623	74.890068086	493.9		
T	19.463721433	74.814281979	493.2		
T	19.463539171	74.803354276	495.7		
T	19.451982053	74.727081682	506.4		
T	19.430125852	74.651034694	522.6		
T	19.408624524	74.596855046	556.6		
T	19.397168148	74.531485946	614.6		
T	19.365566965	74.488469142	611.8		
T	19.354690199	74.455886611	547.0		
T	19.343805429	74.423302967	551.2		
T	19.322226172	74.369079498	572.4		
T	19.299978939	74.281994214	596.6		
T	19.288398778	74.216516095	602.1		
T	19.277249043	74.172883123	654.2		
T	19.235942185	74.162970644	688.2		
T	19.225219600	74.141309851	768.7		
T	19.203070607	74.065095670	675.2		
T	19.191865544	74.021480851	643.7		
T	19.179461166	73.922899013	670.7		
T	19.167730606	73.857250174	748.7		
T	19.167241461	73.835262859	722.2		
T	19.154284017	73.713811106	1089.9		
T	19.131702260	73.625761786	787.0		
T	19.120387326	73.581712133	785.5		
T	19.108796302	73.526546568	392.3		
T	19.097446298	73.482461948	142.8		
T	19.074964351	73.405458884	49.1		
T	19.063842187	73.372497597	96.9		
T	19.042125667	73.328767028	29.8		
T	19.029569129	73.240242831	80.5		
T	19.008087699	73.207598426	58.1		
T	18.986012332	73.152716451	15.2		
T	18.974816007	73.119672787	9.3		
T	18.973931574	73.086332005	142.0		
T	18.951195111	73.009134113	13.8		
T	18.918389744	72.943341548	0.0		
T	18.866769240	72.944982592	22.8		
T	18.826402439	72.979593308	0.0		
T	18.827023544	73.001834305	61.1		
T	18.807617428	73.046941878	0.5		
T	18.799137149	73.113915659	68.6		
T	18.800652738	73.169458981	46.8		
T	18.802745176	73.247176806	191.8		
T	18.804219573	73.302672097	48.5		
T	18.827151938	73.390969251	600.1		
T	18.839159745	73.457309558	947.0		
T	18.861149407	73.512126218	954.5		
T	18.873091203	73.578285573	681.6		
T	18.894752448	73.621953522	707.4		
T	18.917183466	73.698811326	767.7		
T	18.939564519	73.775625315	746.7		
T	18.940586505	73.819669715	638.8		
T	18.941599174	73.863601312	678.4		
T	18.953374233	73.929107666	781.2		
T	18.975637886	74.005288295	628.7		
T	18.998098544	74.092377485	610.7		
T	19.020507756	74.179428887	607.6		
T	19.033264305	74.299665379	675.0		
T	19.065808403	74.386497379	847.8		
T	19.087827290	74.462567318	790.4		
T	19.110023038	74.549447554	715.7		
T	19.132374559	74.647173652	672.2		
T	19.154275365	74.723055157	659.0		
T	19.165695618	74.788244106	689.6		
T	19.187715934	74.875000625	842.5		
T	19.198709591	74.918369312	610.6		
T	19.220302335	74.983309810	541.3		
T	19.241695440	75.037333928	530.2		
T	19.262723899	75.069576898	503.7		
T	19.284087351	75.123604649	503.2		
T	19.295014619	75.166952505	494.0		
T	19.316013172	75.199210501	477.2		
T	19.347585521	75.253032591	502.5		
T	19.358488922	75.296350467	490.2		
T	19.379469596	75.328597620	472.9		
T	19.379946772	75.361234301	463.0		
T	19.390976611	75.415435196	453.9		
T	19.422784519	75.491025871	435.7		
T	19.444428103	75.577732559	452.7		
T	19.455400926	75.631913060	462.4		
T	19.466363803	75.686087454	453.9		
T	19.487824745	75.761849063	449.8		
T	19.499002278	75.837783563	463.1		
T	19.520515966	75.924438441	466.8		
T	19.531139407	75.956894422	472.2		
T	19.572988537	76.032392869	487.1		
T	19.573110658	76.043261152	486.6		
T	19.594319500	76.108198811	478.0		
T	19.626085361	76.205633665	444.9		
T	19.667935986	76.292107158	457.5		
T	19.678613616	76.335474579	451.3		
T	19.700046470	76.433096710	490.1		
T	19.711084832	76.519976141	528.7		
T	19.721898982	76.585117435	527.4		
T	19.742947230	76.650172802	485.0		
T	19.753667883	76.704466678	466.4		
T	19.754124732	76.758861668	461.6		
T	19.785579300	76.845659364	498.0		
T	19.796083744	76.878231094	491.6		
T	19.806742438	76.932579281	480.3		
T	19.849155045	77.128343603	528.0		
T	19.880877169	77.280748480	499.5		
T	19.901830754	77.356977814	469.8		
T	19.922783827	77.433265792	530.9		
T	19.943625730	77.487784393	428.7		
T	19.943809043	77.520543539	358.4		
T	19.975350780	77.662512895	368.2		
T	19.985726687	77.684362623	430.2		
T	20.027585150	77.837566395	331.8		
T	20.048862934	78.012853773	288.6		
T	20.059339951	78.067686071	300.7		
T	20.090548148	78.177460690	272.1		
T	20.101017304	78.243347297	294.9		
T	20.132051102	78.309352682	281.9		
T	20.173318522	78.342519439	348.6		
T	20.214540420	78.353719088	330.2		
T	20.194017976	78.386603274	397.5		
T	20.194042138	78.397600002	353.3		
T	20.194373041	78.507798237	313.6		
T	20.194573651	78.595987044	360.7		
T	20.194647117	78.640083100	352.0		
T	20.204992271	78.662220538	309.7		
T	20.246448558	78.795072870	197.2		
T	20.267129201	78.817394466	198.9		
T	20.298223024	78.917263991	211.5		
T	20.308595176	78.994845495	215.8		
T	20.350019678	79.306122299	345.9		
T	20.360341259	79.373013776	260.9		
T	20.391321992	79.451383812	213.6		
T	20.412022215	79.518673049	230.4		
T	20.463566715	79.787846015	258.6		
T	20.484140003	79.945391809	204.0		
T	20.504465370	80.159525960	228.9		
T	20.504119605	80.283513675	266.6		
T	20.503975873	80.328644345	264.4		
T	20.472480957	80.406887098	275.0		
T	20.441360911	80.383531452	349.1		
T	20.410379940	80.326363483	282.4		
T	20.410421869	80.315088866	304.0		
T	20.389911488	80.235709411	261.6		
T	20.379638502	80.201701379	241.5		
T	20.369434376	80.145214807	239.7		
T	20.359333577	80.055106433	229.3		
T	20.338821611	79.964883121	195.0		
T	20.318260650	79.885980426	227.0		
T	20.297758386	79.773634614	239.9		
T	20.297927733	79.695447465	244.8		
T	20.287618913	79.672949799	214.5		
T	20.267018110	79.616823553	209.5		
T	20.256778914	79.538582690	222.2		
T	20.236144885	79.482529115	250.1		
T	20.215574090	79.393238268	251.3		
T	20.194957531	79.348513788	224.4		
T	20.174384076	79.248329710	249.7		
T	20.164071489	79.214909564	253.9		
T	20.122784856	79.170040575	232.2		
T	20.102147435	79.125454250	215.9		
T	20.102147068	79.103287911	200.1		
T	20.102181863	79.047992809	187.5		
T	20.112491178	78.959610395	190.9		
T	20.102132499	78.893158191	222.3		
T	20.091777894	78.848846231	241.7		
T	20.081441270	78.826648895	251.2		
T	20.060725714	78.749157523	270.1		
T	20.050380890	78.693981097	324.1		
T	20.040055700	78.671866448	392.1		
T	20.029702430	78.616748552	371.9		
T	20.008976774	78.517593467	266.4		
T	19.998587566	78.462551771	281.1		
T	19.988162872	78.396547388	313.5		
T	19.967436574	78.308676789	284.8		
T	19.957017364	78.242843087	340.2		
T	19.946577758	78.177038837	255.6		
T	19.936148472	78.122220650	265.3		
T	19.915429144	78.067405587	259.9		
T	19.894700627	78.012626069	256.9		
T	19.884277101	77.968833608	273.5		
T	19.863447685	77.892233223	265.8		
T	19.852690957	77.782847948	283.3		
T	19.852531038	77.750045194	289.1		
T	19.831571168	77.662651208	305.0		
T	19.810731549	77.597195988	361.4		
T	19.800054373	77.509976224	497.9		
T	19.789521835	77.455499981	518.6		
T	19.747718490	77.314004992	471.9		
T	19.726772057	77.237877303	465.9		
T	19.716183355	77.183500143	449.6		
T	19.705507275	77.118255377	459.0		
T	19.674239019	77.042277883	480.4		
T	19.663762840	77.009714379	449.1		
T	19.642976002	76.966370464	516.0		
T	19.632413778	76.922953783	417.1		
T	19.590709977	76.825455245	468.1		
T	19.559379292	76.749657700	425.1		
T	19.517593220	76.652273683	409.1		
T	19.496461670	76.576465570	437.4		
T	19.496270739	76.554751528	434.5		
T	19.485544081	76.500572887	410.1		
T	19.453595978	76.370641483	429.6		
T	19.453490271	76.359786742	430.4		
T	19.432471410	76.305753735	450.1		
T	19.410656080	76.175753558	462.3		
T	19.389235523	76.089187833	438.0		
T	19.389115201	76.078333893	448.9		
T	19.377506090	75.959080679	431.1		
T	19.365442798	75.807212351	428.9		
T	19.343862171	75.720648633	436.4		
T	19.321949053	75.612372050	468.2		
T	19.310823215	75.547363076	459.7		
T	19.289128528	75.460778707	484.1		
T	19.277793176	75.384880853	494.0		
T	19.256340432	75.320042043	514.7		
T	19.255685790	75.276559255	498.0		
T	19.234027644	75.200825831	517.8		
T	19.212686630	75.146822667	533.5		
T	19.190975890	75.071057078	532.0		
T	19.169412590	75.006158236	552.4		
T	19.147823363	74.941243879	661.5		
T	19.126393937	74.887221990	897.8		
T	19.115766096	74.865655270	800.8		
T	19.083670019	74.790063237	672.7		
T	19.072437745	74.735809026	642.8		
T	19.051133931	74.692683160	662.2		
T	19.040274599	74.660223070	706.7		
T	19.008485356	74.606443259	781.1		
T	18.986509040	74.530628282	783.9		
T	18.975404908	74.487130860	728.4		
T	18.953593388	74.421976004	699.0		
T	18.942232571	74.367516442	651.9		
T	18.930399222	74.291156208	585.1		
T	18.918759882	74.225714489	594.8		
T	18.886318201	74.149819932	646.2		
T	18.854313859	74.095853310	688.3		
T	18.852855206	74.030196897	772.0		
T	18.819541752	73.921377887	602.8		
T	18.807732135	73.855808664	589.9		
T	18.785609951	73.790399974	680.4		
T	18.763718093	73.735922028	617.3		
T	18.741527992	73.670430860	611.0		
T	18.730145265	73.626673246	738.7		
T	18.708456440	73.583165711	607.2		
T	18.696756598	73.528315385	600.4		
T	18.685021723	73.473271524	607.0		
T	18.673847688	73.440310124	656.0		
T	18.662067629	73.385135841	379.2		
T	18.639353291	73.308044693	53.2		
T	18.638435436	73.274701200	32.1		
T	18.626268890	73.208283865	412.5		
T	18.603431538	73.130952963	47.5		
T	18.592163080	73.097940686	3.5		
T	18.559601257	73.043345089	346.0		
T	18.517333328	73.011242840	204.7		
T	18.454721878	72.990848243	0.0		
T	18.424405840	73.013942835	9.8		
T	18.352792808	73.038222099	263.7		
T	18.323153813	73.083456070	0.1		
T	18.314161041	73.128080166	22.3		
T	18.306217544	73.206288881	24.5		
T	18.309234716	73.306402822	59.0		
T	18.310886818	73.361964322	356.3		
T	18.313816823	73.461871820	769.9		
T	18.336821932	73.549311690	731.1		
T	18.337992501	73.593189567	893.7		
T	18.349731562	73.647750955	857.3		
T	18.360880721	73.680374826	788.5		
T	18.383154851	73.745611793	726.9		
T	18.415955342	73.821531521	900.4		
T	18.427330380	73.865074963	717.3		
T	18.449238896	73.919300869	651.8		
T	18.481138598	73.962326966	568.0		
T	18.503776690	74.049363991	542.2		
T	18.525604871	74.103573308	526.4		
T	18.548151188	74.190557074	551.8		
T	18.549367053	74.245108954	527.2		
T	18.581610300	74.309892796	522.4		
T	18.592820875	74.353310859	529.8		
T	18.614513345	74.407408521	549.2		
T	18.626148339	74.472623249	544.3		
T	18.648673404	74.570263345	550.1		
T	18.659584882	74.602714046	560.5		
T	18.670702358	74.646049941	579.5		
T	18.671763763	74.700475490	593.1		
T	18.693107687	74.743589774	597.3		
T	18.704184685	74.786909230	602.0		
T	18.715651851	74.851979822	638.4		
T	18.778716529	74.937753081	622.5		
T	18.800355138	75.002561240	572.3		
T	18.811535468	75.056691511	572.1		
T	18.811719541	75.067551479	562.2		
T	18.823417352	75.154221727	603.0		
T	18.845655780	75.262368930	831.8		
T	18.857249934	75.348904812	798.8		
T	18.889600099	75.456781645	803.4		
T	18.900631048	75.510813411	793.9		
T	18.932569439	75.597063704	586.0		
T	18.964173697	75.661573108	586.9		
T	18.985659791	75.737088152	509.7		
T	18.996461145	75.780261601	539.6		
T	19.017486836	75.823284533	482.9		
T	19.039036973	75.909650951	482.1		
T	19.049533951	75.931173305	477.7		
T	19.070779940	75.995870183	455.1		
T	19.102364759	76.071275872	437.1		
T	19.133919391	76.146707703	429.0		
T	19.165435477	76.222173088	421.5		
T	19.186574475	76.286945624	429.7		
T	19.207812932	76.362556994	395.0		
T	19.219192315	76.481648898	408.0		
T	19.250485814	76.546363157	433.6		
T	19.271798607	76.643722762	439.5		
T	19.325125980	76.914406624	386.0		
T	19.399031903	77.261311489	412.2		
T	19.409512007	77.304711837	399.2		
T	19.419870269	77.326391424	416.7		
T	19.450888321	77.380599262	504.2		
T	19.461189854	77.391428040	454.1		
T	19.471262689	77.358764473	461.0		
T	19.481791160	77.413091902	428.4		
T	19.482212109	77.500105720	417.2		
T	19.482456684	77.554496037	450.8		
T	19.482637018	77.598013505	477.6		
T	19.503261421	77.630601195	425.6		
T	19.523841807	77.652314985	414.3		
T	19.554504502	77.630465779	400.7		
T	19.595628006	77.663026447	407.8		
T	19.677588571	77.651932585	448.6		
T	19.698265556	77.695492161	419.0		
T	19.750545418	77.914003174	293.8		
T	19.823046652	78.100064096	297.3		
T	19.823188360	78.154799770	307.0		
T	19.802762901	78.209493314	306.5		
T	19.802831476	78.242350105	305.7		
T	19.802932082	78.297122794	288.2		
T	19.803107444	78.417695231	225.9		
T	19.803217376	78.494546030	251.2		
T	19.834128574	78.549628920	225.0		
T	19.865064998	78.637750215	250.3		
T	19.875360612	78.648810874	257.5		
T	19.906334297	78.847303329	233.5		
T	19.906342805	78.935597396	240.3		
T	19.937174652	79.035188897	198.9		
T	19.947471370	79.046332776	182.2		
T	19.968020086	79.134991595	200.9		
T	19.998823670	79.279387567	189.1		
T	20.050008961	79.513133590	209.5		
T	20.070597615	79.557982001	246.9		
T	20.101427091	79.647609646	199.4		
T	20.111690315	79.681228179	191.5		
T	20.132164059	79.759658945	207.4		
T	20.163082775	79.804829760	207.8		
T	20.183684280	79.849961942	207.5		
T	20.193984726	79.872541771	218.1		
T	20.224853981	79.951543378	212.0		
T	20.255814167	79.996984319	202.4		
T	20.255628724	80.053059682	224.2		
T	20.255208451	80.165289966	228.6		
T	20.255083989	80.199024252	218.5		
T	20.203067720	80.231640574	248.0		
T	20.151142939	80.241754083	259.1		
T	20.109754751	80.218375756	245.6		
T	20.078851551	80.172785994	235.1		
T	20.068584239	80.150121159	267.8		
T	20.058434267	80.105086102	237.3		
T	20.048326643	80.048881294	214.7		
T	20.038387901	79.947977816	198.7		
T	20.017990245	79.869383784	187.3		
T	20.018377934	79.757753240	191.7		
T	20.008287617	79.679581213	183.5		
T	19.998111881	79.623742803	187.4		
T	19.977769314	79.489925539	219.8		
T	19.967614348	79.412058726	252.2		
T	19.947169002	79.323127113	202.6		
T	19.906034399	79.256200432	184.0		
T	19.854475873	79.233366954	189.6		
T	19.833816570	79.255275718	195.3		
T	19.813063208	79.332649412	177.9		
T	19.812917364	79.388013653	161.0		
T	19.812691810	79.465587710	182.5		
T	19.812508975	79.532239491	230.3		
T	19.822797096	79.543488928	263.8		
T	19.843126820	79.643847539	182.0		
T	19.873705101	79.755600891	173.9		
T	19.883858119	79.800316798	172.3		
T	19.893921828	79.867411296	183.8		
T	19.893679277	79.923226676	201.6		
T	19.893027722	80.057336421	214.8		
T	19.871905631	80.135268288	318.3		
T	19.840668763	80.168299134	267.2		
T	19.768491894	80.122214309	228.7		
T	19.727329680	80.087947264	234.1		
T	19.686299919	80.031425849	176.0		
T	19.624285028	80.030427900	167.6		
T	19.592920398	80.085739787	167.9		
T	19.592179460	80.197607318	242.5		
T	19.591946640	80.231213551	231.2		
T	19.570690131	80.309337582	220.9		
T	19.539129250	80.376115544	234.5		
T	19.497556514	80.397866323	214.2		
T	19.445820598	80.397001796	215.4		
T	19.414879978	80.385272434	203.7		
T	19.373599184	80.373377792	203.9		
T	19.312046193	80.316391106	204.7		
T	19.281330414	80.282356200	212.8		
T	19.250520528	80.259531562	230.3		
T	19.189016775	80.202749439	157.5		
T	19.168554352	80.180117272	146.1		
T	19.147893899	80.179829172	145.3		
T	19.065465274	80.156359151	167.5		
T	19.013925850	80.144504772	249.5		
T	18.962288667	80.143885864	387.5		
T	18.931197428	80.154694389	215.3		
T	18.890003690	80.143146509	143.2		
T	18.869349654	80.142934626	302.2		
T	18.849602413	80.053805210	128.7		
T	18.871103743	79.965184359	100.7		
T	18.881831786	79.920898875	121.1		
T	18.892446015	79.887716747	127.1		
T	18.903051462	79.854541711	128.8		
T	18.954616066	79.855005658	142.5		
T	19.006179705	79.855507885	132.8		
T	19.067791508	79.889461939	122.7		
T	19.129418138	79.923452460	145.3		
T	19.191065498	79.957483647	126.3		
T	19.222025238	79.957868546	158.3		
T	19.283864994	79.969779605	141.3		
T	19.345637001	79.992864783	144.9		
T	19.407431835	80.016045472	127.8		
T	19.448663165	80.027793849	147.0		
T	19.520962461	80.028833450	152.5		
T	19.552020307	80.018117585	154.1		
T	19.603826805	79.996643932	152.2		
T	19.624628369	79.974672258	156.5		
T	19.656006362	79.908272281	190.8		
T	19.697791576	79.819758739	166.3		
T	19.718710141	79.764428002	160.5		
T	19.719233956	79.642105036	192.0		
T	19.719524153	79.564330428	226.3		
T	19.719638405	79.531014476	214.6		
T	19.719879964	79.453314365	189.9		
T	19.720154034	79.353527907	204.8		
T	19.720201661	79.331346692	200.0		
T	19.730622656	79.276052818	212.8		
T	19.771960259	79.221185635	222.0		
T	19.802978539	79.132939624	204.6		
T	19.813398181	79.055790353	196.9		
T	19.823828354	78.989838499	204.5		
T	19.844509233	78.946023632	214.9		
T	19.844562254	78.879917221	221.5		
T	19.844550391	78.802724842	234.3		
T	19.844540882	78.780677814	241.1		
T	19.834227747	78.703545010	242.5		
T	19.813580771	78.571494606	213.9		
T	19.792892289	78.461555746	273.3		
T	19.782528854	78.406628798	240.8		
T	19.761916693	78.362700948	299.0		
T	19.730978845	78.285917750	343.8		
T	19.710375385	78.253006882	436.0		
T	19.679499557	78.220083160	405.3		
T	19.617820962	78.187108208	314.1		
T	19.597263994	78.176124410	340.0		
T	19.545802359	78.110443487	339.6		
T	19.494230843	78.001164198	399.2		
T	19.453012313	77.935655281	393.5		
T	19.422052766	77.859411983	400.8		
T	19.401355972	77.794099110	406.3		
T	19.370355041	77.717957029	402.1		
T	19.318969370	77.674573979	430.1		
T	19.298326061	77.631153015	474.1		
T	19.277456601	77.533425843	447.1		
T	19.266931730	77.468289321	389.3		
T	19.225766781	77.425021783	372.1		
T	19.205024120	77.370834689	352.0		
T	19.245654215	77.305518343	376.6		
T	19.235065579	77.240469570	363.4		
T	19.224326101	77.153743360	391.7		
T	19.203239971	77.056269192	387.0		
T	19.192788956	77.023810386	372.1		
T	19.171727439	76.937247355	384.7		
T	19.140637200	76.883305786	403.4		
T	19.140318376	76.839969966	400.6		
T	19.119436657	76.785975923	390.6		
T	19.108944729	76.753567374	411.7		
T	19.067302193	76.667302603	395.4		
T	19.046285956	76.602539326	391.0		
T	19.025245788	76.537796814	395.6		
T	18.993951285	76.473179195	403.3		
T	18.983309109	76.430006684	406.1		
T	18.962318103	76.376132933	436.6		
T	18.951544541	76.322157244	457.6		
T	18.909372614	76.203640846	644.8		
T	18.888197957	76.138992496	571.8		
T	18.877479209	76.095857454	560.2		
T	18.845521400	75.988107141	667.3		
T	18.823999896	75.901859497	754.6		
T	18.813084905	75.847910884	731.1		
T	18.802153410	75.793964170	731.0		
T	18.770005718	75.686233157	726.6		
T	18.759474849	75.664752818	747.1		
T	18.738098671	75.600161025	740.7		
T	18.747711052	75.556683372	741.8		
T	18.736679794	75.502678607	722.0		
T	18.704824722	75.427342516	629.3		
T	18.672931031	75.352012587	643.7		
T	18.651413583	75.287345345	611.2		
T	18.640997810	75.276689824	609.1		
T	18.619262619	75.201160491	536.1		
T	18.597672224	75.136454617	556.5		
T	18.565615301	75.061079662	620.5		
T	18.522873663	74.964197201	569.1		
T	18.511829463	74.920995502	553.5		
T	18.490110039	74.856261298	556.7		
T	18.456824492	74.726520610	505.6		
T	18.445263265	74.661511136	513.7		
T	18.422963818	74.574932841	547.7		
T	18.390808406	74.510290496	605.7		
T	18.379609447	74.466951784	658.7		
T	18.378900990	74.434278825	601.6		
T	18.346434836	74.358739197	656.9		
T	18.314171247	74.294085966	641.3		
T	18.301912473	74.207169721	664.3		
T	18.280349814	74.164026271	713.2		
T	18.278512177	74.087567722	856.6		
T	18.255263177	73.978724140	950.0		
T	18.232489649	73.891698435	636.9		
T	18.219955625	73.804405113	671.5		
T	18.176315736	73.717123298	741.8		
T	18.154806817	73.684611156	747.4		
T	18.132093049	73.608254777	528.4		
T	18.121471345	73.597472571	362.4		
T	18.109637340	73.542832495	175.3		
T	18.076479085	73.466493889	80.8		
T	18.053748381	73.400307844	178.3		
T	18.041033982	73.323040744	30.4		
T	18.008379815	73.268615855	291.2		
T	17.986704458	73.236005810	332.8		
T	17.933327119	73.182080797	90.5		
T	17.891964656	73.183032399	208.1		
T	17.851295933	73.206058277	214.8		
T	17.831311897	73.228604767	87.0		
T	17.781353493	73.284934134	175.8		
T	17.772402750	73.329257449	62.4		
T	17.753445824	73.384783434	10.9		
T	17.776168755	73.450400808	311.7		
T	17.777199141	73.483463970	118.0		
T	17.789345611	73.538624312	183.8		
T	17.823528946	73.637560985	778.0		
T	17.856574997	73.703244591	705.3		
T	17.879256343	73.769090743	982.5		
T	17.901557058	73.823853537	1224.6		
T	17.913269896	73.878106413	772.7		
T	17.957668611	74.007648972	820.4		
T	18.000616116	74.082722168	738.0		
T	18.023067084	74.158557635	621.0		
T	18.056776229	74.277664708	552.0		
T	18.089375963	74.353180269	535.8		
T	18.101377971	74.429082160	542.7		
T	18.134366241	74.526298365	545.5		
T	18.167248357	74.623389239	563.4		
T	18.189579061	74.709817764	568.3		
T	18.200727278	74.753026705	550.3		
T	18.233036755	74.828405533	496.9		
T	18.233463442	74.850095467	518.6		
T	18.289243653	75.087618344	519.7		
T	18.343537904	75.259994764	561.7		
T	18.407831133	75.432079605	557.1		
T	18.450306770	75.528775136	557.3		
T	18.461357388	75.582680287	561.4		
T	18.503417761	75.657749189	616.7		
T	18.567062014	75.818966747	696.4		
T	18.600218172	76.013002185	664.3		
T	18.621323142	76.066739593	665.7		
T	18.753303494	75.978541131	700.0		
T	18.773896977	75.989073625	698.9		
T	18.804850474	76.010283446	738.2		
T	18.847270698	76.139506605	618.0		
T	18.868909399	76.247400031	615.6		
T	18.869360075	76.290656838	593.6		
T	18.871168286	76.474466712	477.9		
T	18.902458156	76.539034345	442.1		
T	18.902935394	76.593106901	409.5		
T	18.913723109	76.657901424	418.8		
T	18.956342419	76.873924364	391.0		
T	18.976887443	76.884585470	388.2		
T	18.977847888	77.025298339	419.8		
T	18.968022540	77.090331441	402.9		
T	18.988879758	77.155173871	399.4		
T	19.009834219	77.241710131	422.1		
T	19.020128552	77.252487723	427.2		
T	19.030589906	77.295773754	407.9		
T	19.082354274	77.414789621	353.7		
T	19.123823253	77.533980371	392.4		
T	19.134107844	77.544797962	417.9		
T	19.144927622	77.707652687	447.4		
T	19.103951734	77.707760332	442.0		
T	19.042491047	77.707922860	394.5		
T	18.991182010	77.675499797	397.0		
T	18.950114941	77.643104584	376.0		
T	18.919250306	77.599842178	350.9		
T	18.878020765	77.524127655	367.1		
T	18.857339641	77.470031026	401.6		
T	18.805788961	77.383594347	388.8		
T	18.785021836	77.318739437	389.5		
T	18.774630290	77.286332736	457.4		
T	18.743425419	77.189149275	466.0		
T	18.722536395	77.113579428	486.9		
T	18.681151802	77.038181901	509.8		
T	18.670578122	76.984224655	532.0		
T	18.639524589	76.930440931	532.8		
T	18.597911717	76.833585270	570.5		
T	18.546428202	76.790842905	650.0		
T	18.536114135	76.780138555	679.7		
T	18.504915859	76.715662632	599.6		
T	18.494333341	76.672600139	595.8		
T	18.473317424	76.608067162	604.3		
T	18.462507803	76.543447164	590.3		
T	18.451675305	76.478833388	620.2		
T	18.419173610	76.295822379	674.0		
T	18.408478025	76.252798249	677.0		
T	18.397410792	76.177419414	692.8		
T	18.376062351	76.102156797	673.4		
T	18.354548981	76.016112725	661.8		
T	18.333672218	75.984011275	681.9		
T	18.312514375	75.930340977	647.3		
T	18.291466123	75.887447586	572.5		
T	18.270101352	75.822972346	532.8		
T	18.237695234	75.704667391	514.9		
T	18.205847322	75.629537335	522.9		
T	18.163369572	75.532958496	501.5		
T	18.131418880	75.457822067	504.8		
T	18.078376723	75.350597714	539.7		
T	18.057135518	75.307710085	539.4		
T	18.035695144	75.254023845	518.6		
T	18.024865701	75.221769152	508.2		
T	18.013624019	75.167869236	504.5		
T	17.991696028	75.092497045	488.0		
