type	latitude	longitude	altitude (m)	name	desc
T	21.261894886	78.862161914	347.5		
T	21.262098459	78.906835241	329.7		
T	21.283234824	78.974201870	315.0		
T	21.304269009	79.019257610	323.2		
T	21.356925434	79.143292274	295.9		
T	21.388665754	79.255997598	319.6		
T	21.420267602	79.346371154	317.5		
T	21.451732679	79.391909918	330.5		
T	21.462361744	79.448354040	407.7		
T	21.462473729	79.470906308	391.0		
T	21.462828482	79.538640783	372.8		
T	21.463049908	79.583821253	337.4		
T	21.452834437	79.640070668	410.2		
T	21.411293339	79.706968081	275.9		
T	21.411533487	79.774808911	269.9		
T	21.390715985	79.819514120	254.0		
T	21.390882161	79.876101066	264.6		
T	21.380560145	79.932449841	272.1		
T	21.380685899	79.989089042	289.8		
T	21.391203937	80.012028614	298.0		
T	21.391287030	80.057375935	335.2		
T	21.391412010	80.136790803	331.2		
T	21.381188636	80.238915039	322.4		
T	21.339241639	80.226338702	317.2		
T	21.339186888	80.203574204	325.1		
T	21.318035231	80.089429571	366.0		
T	21.317964916	80.044085898	342.9		
T	21.317849355	79.976126634	348.4		
T	21.317710546	79.908215971	282.3		
T	21.317658083	79.885588350	287.4		
T	21.317544358	79.840347324	267.1		
T	21.317317766	79.738718537	265.0		
T	21.317241486	79.704879400	271.2		
T	21.317070755	79.648466187	264.0		
T	21.295886477	79.569057158	268.0		
T	21.285311237	79.535022998	270.7		
T	21.274633151	79.478475230	281.0		
T	21.264021195	79.422068835	289.3		
T	21.243013177	79.354376921	282.4		
T	21.211510885	79.275322694	269.1		
T	21.190431198	79.207715845	286.6		
T	21.179707805	79.129152606	291.0		
T	21.158668978	79.072891064	322.0		
T	21.148179406	79.050378217	318.2		
T	21.126838200	78.916070317	313.8		
T	21.116188529	78.860139741	334.5		
T	21.095073506	78.792960113	441.2		
T	21.094853627	78.748385721	444.4		
T	21.094547675	78.670520775	486.3		
T	21.094405492	78.637161859	492.8		
T	21.094154586	78.581577155	509.8		
T	21.093940686	78.537123307	486.8		
T	21.093655288	78.481571597	467.5		
T	21.103536675	78.381761950	477.7		
T	21.113776089	78.337541934	461.3		
T	21.123914632	78.271164825	460.4		
T	21.134122908	78.226941752	387.7		
T	21.144267595	78.171641309	309.7		
T	21.164642453	78.094240177	304.6		
T	21.174663849	78.038886412	341.7		
T	21.174488951	78.005678221	358.0		
T	21.174245568	77.961406749	357.6		
T	21.173858814	77.895013790	366.6		
T	21.173303354	77.806516248	350.8		
T	21.172988670	77.762268304	351.4		
T	21.172203836	77.662726204	354.3		
T	21.171354488	77.530199363	340.5		
T	21.160634174	77.475014356	341.0		
T	21.149736669	77.397777969	332.8		
T	21.139062732	77.353668402	334.6		
T	21.128295343	77.276542631	326.0		
